year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
2022,09X525,Bronx Leadership Academy High School,,83%,81%,94%,80%,92%,94%,92%,86%,82%,90%,86%,96%,90%,82%,87%,92%,93%,41%
2022,09X543,High School for Violin and Dance,,85%,82%,96%,86%,98%,100%,91%,91%,86%,90%,86%,94%,90%,91%,93%,97%,94%,40%
2022,09X555,Mount Eden Children's Academy,,94%,94%,99%,98%,98%,97%,97%,98%,97%,96%,96%,98%,97%,95%,98%,97%,96%,4%
2022,09X564,Claremont International HS,,95%,91%,98%,96%,98%,97%,96%,98%,96%,95%,99%,99%,98%,96%,99%,97%,99%,30%
2022,09X568,Young Women's Leadership School of the Bronx,,92%,91%,97%,92%,96%,96%,96%,94%,93%,95%,96%,96%,97%,97%,98%,97%,98%,15%
2022,09X593,South Bronx International Middle School,,93%,95%,97%,95%,97%,97%,98%,97%,95%,95%,95%,98%,96%,99%,98%,98%,98%,12%
2022,09X594,New Pathways Academy,,89%,89%,97%,91%,96%,98%,97%,98%,91%,95%,95%,95%,97%,96%,99%,98%,97%,17%
2022,10X003,P.S. 3 Raul Julia Micro Society,,94%,95%,99%,97%,99%,98%,97%,98%,98%,96%,96%,97%,98%,99%,97%,96%,97%,5%
2022,10X007,Milton Fein School,,86%,94%,94%,86%,95%,89%,86%,88%,95%,86%,94%,89%,85%,100%,93%,96%,97%,3%
2022,10X008,P.S. 008 Isaac Varian,,86%,89%,97%,91%,95%,97%,90%,93%,95%,92%,93%,96%,93%,94%,95%,93%,96%,7%
2022,10X009,P.S. 9 Ryer Avenue Elementary School,,88%,90%,94%,87%,92%,94%,86%,87%,95%,87%,91%,90%,91%,92%,92%,94%,97%,14%
2022,10X015,P.S. X015 Institute for Environmental Learning,,81%,85%,90%,82%,95%,87%,82%,83%,92%,85%,92%,88%,87%,93%,87%,88%,90%,11%
2022,10X020,"PS/MS 20 P.O.George J. Werdann, III",,70%,77%,92%,75%,91%,81%,72%,74%,88%,68%,79%,77%,77%,77%,81%,84%,89%,16%
2022,10X023,P.S. 023 The New Children's School,,96%,95%,98%,97%,97%,98%,98%,98%,97%,99%,98%,100%,99%,99%,99%,97%,97%,2%
2022,10X024,P.S. 024 Spuyten Duyvil,,88%,89%,94%,89%,99%,90%,89%,93%,91%,89%,92%,93%,89%,96%,92%,92%,93%,4%
2022,10X032,P.S. 032 Belmont,,93%,96%,97%,97%,99%,99%,97%,97%,100%,97%,99%,98%,99%,99%,97%,94%,95%,8%
2022,10X033,P.S. 033 Timothy Dwight,,88%,92%,97%,92%,96%,93%,90%,87%,97%,88%,93%,94%,95%,94%,92%,95%,94%,16%
2022,10X037,P.S. X037 - Multiple Intelligence School,,89%,91%,99%,98%,99%,97%,96%,95%,94%,94%,96%,96%,94%,93%,96%,92%,93%,6%
2022,10X045,Thomas C. Giordano Middle School 45,,96%,96%,98%,96%,99%,98%,98%,98%,96%,98%,97%,98%,98%,98%,99%,98%,98%,4%
2022,10X046,P.S. 046 Edgar Allan Poe,,83%,86%,94%,86%,95%,94%,94%,92%,92%,89%,92%,92%,94%,95%,93%,94%,94%,21%
2022,10X051,The Bronx STEM and Arts Academy,,92%,94%,96%,94%,98%,96%,94%,94%,97%,93%,95%,98%,97%,97%,97%,96%,97%,3%
2022,10X054,P.S./I.S. 54,,93%,92%,95%,95%,98%,96%,93%,95%,97%,95%,93%,97%,96%,98%,97%,96%,96%,9%
2022,10X056,P.S. 056 Norwood Heights,,89%,90%,94%,93%,97%,98%,96%,98%,92%,95%,93%,96%,95%,98%,99%,95%,96%,14%
2022,10X059,P.S. 059 The Community School of Technology,,98%,97%,99%,98%,99%,98%,99%,98%,98%,98%,100%,98%,98%,99%,98%,97%,98%,2%
2022,10X077,Bedford Park Elementary School,,96%,95%,98%,96%,97%,94%,93%,92%,95%,91%,97%,94%,94%,97%,98%,97%,95%,2%
2022,10X080,J.H.S. 080 The Mosholu Parkway,,84%,81%,94%,85%,94%,96%,91%,93%,89%,89%,90%,93%,95%,90%,91%,89%,91%,17%
2022,10X081,P.S. 081 Robert J. Christen,,94%,95%,97%,94%,97%,94%,94%,95%,96%,93%,96%,96%,96%,97%,97%,96%,98%,4%
2022,10X085,P.S. 085 Great Expectations,,88%,90%,94%,88%,94%,93%,87%,87%,93%,87%,91%,90%,89%,92%,89%,93%,93%,14%
2022,10X086,P.S. 086 Kingsbridge Heights,,92%,93%,99%,93%,98%,96%,95%,96%,96%,93%,93%,94%,95%,96%,96%,97%,98%,16%
2022,10X091,P.S. 091 Bronx,,92%,95%,98%,95%,98%,97%,97%,97%,96%,96%,97%,97%,99%,99%,95%,97%,97%,10%
2022,10X094,P.S. 094 Kings College School,,85%,86%,94%,89%,98%,97%,93%,94%,93%,94%,91%,95%,96%,94%,95%,93%,94%,9%
2022,10X095,P.S. 095 Sheila Mencher,,85%,89%,92%,89%,98%,92%,93%,90%,95%,91%,94%,95%,92%,97%,94%,90%,96%,9%
2022,10X118,J.H.S. 118 William W. Niles,,69%,78%,90%,79%,99%,94%,90%,86%,88%,84%,82%,86%,92%,84%,88%,85%,84%,18%
2022,10X141,Riverdale / Kingsbridge Academy (Middle School / H,,76%,75%,94%,82%,96%,92%,89%,91%,83%,86%,85%,92%,91%,84%,91%,88%,93%,12%
2022,10X159,P.S. 159 Luis Munoz Marin Biling,,96%,94%,98%,95%,100%,99%,98%,99%,95%,97%,95%,99%,98%,96%,99%,96%,97%,10%
2022,10X205,P.S. 205 Fiorello LaGuardia,,88%,90%,96%,93%,96%,95%,94%,94%,96%,93%,95%,96%,96%,95%,95%,95%,96%,23%
2022,10X206,I.S. 206 Ann Mersereau,,99%,99%,100%,99%,100%,100%,99%,99%,100%,99%,100%,99%,100%,99%,100%,100%,100%,2%
2022,10X207,P.S. 207,,94%,93%,97%,98%,99%,96%,96%,95%,98%,94%,96%,99%,97%,99%,97%,96%,98%,4%
2022,10X209,P.S. 209,,99%,97%,99%,97%,98%,97%,98%,97%,99%,99%,99%,99%,99%,99%,99%,99%,99%,10%
2022,10X213,Bronx Engineering and Technology Academy,,89%,84%,97%,94%,99%,99%,98%,97%,92%,98%,98%,99%,100%,99%,99%,99%,98%,32%
2022,10X225,Theatre Arts Production Company School,,87%,83%,93%,86%,95%,93%,92%,94%,89%,89%,87%,93%,93%,91%,93%,93%,91%,16%
2022,10X226,P.S. 226,,93%,95%,99%,95%,99%,98%,96%,95%,99%,94%,96%,98%,99%,100%,96%,95%,97%,7%
2022,10X228,Jonas Bronck Academy,,92%,89%,97%,95%,98%,96%,94%,95%,95%,94%,96%,96%,96%,96%,95%,93%,94%,5%
2022,10X237,"The Marie Curie School for Medicine, Nursing, and",,87%,83%,91%,87%,96%,93%,85%,85%,90%,84%,89%,90%,87%,92%,92%,92%,97%,32%
2022,10X243,West Bronx Academy for the Future,,90%,89%,95%,93%,98%,97%,95%,94%,94%,95%,94%,95%,95%,95%,95%,94%,95%,17%
2022,10X244,The New School for Leadership and Journalism,,93%,92%,97%,94%,98%,99%,98%,98%,96%,99%,97%,99%,99%,99%,98%,98%,99%,12%
2022,10X246,P.S. 246 Poe Center,,94%,94%,97%,96%,99%,99%,98%,99%,98%,98%,96%,99%,98%,98%,98%,98%,97%,3%
2022,10X254,I.S. 254,,82%,75%,89%,85%,95%,92%,87%,92%,86%,96%,90%,88%,93%,91%,91%,89%,88%,12%
2022,10X264,Bronx Academy for Software Engineering (BASE),,96%,91%,93%,98%,96%,98%,98%,96%,93%,98%,93%,96%,96%,93%,96%,95%,98%,22%
2022,10X268,Kingsbridge International High School,,92%,90%,96%,98%,93%,97%,95%,93%,92%,92%,93%,95%,96%,93%,93%,94%,94%,30%
2022,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",,93%,93%,97%,95%,96%,97%,97%,97%,96%,97%,98%,97%,97%,99%,96%,96%,97%,9%
2022,10X280,P.S./M.S. 280 Mosholu Parkway,,90%,91%,97%,91%,97%,92%,91%,91%,100%,90%,93%,93%,95%,99%,94%,94%,95%,12%
2022,10X284,Bronx School of Law and Finance,,95%,92%,95%,94%,97%,96%,95%,95%,95%,100%,98%,99%,99%,98%,99%,97%,96%,11%
2022,10X291,P.S. 291,,99%,99%,100%,99%,100%,100%,99%,99%,99%,99%,99%,99%,100%,100%,99%,100%,100%,1%
2022,10X306,P.S. 306,,91%,88%,97%,91%,98%,96%,93%,95%,91%,93%,92%,94%,93%,97%,93%,94%,95%,20%
2022,10X307,Luisa Pineiro Fuentes School of Science and Discov,,89%,91%,98%,96%,98%,97%,98%,95%,97%,97%,98%,98%,98%,93%,96%,100%,97%,6%
2022,10X308,Bronx Dance Academy School,,76%,84%,91%,84%,95%,86%,88%,91%,89%,83%,92%,92%,88%,97%,93%,95%,89%,18%
2022,10X310,P.S. 310 Marble Hill,,94%,94%,97%,95%,97%,86%,83%,84%,96%,79%,96%,92%,93%,98%,97%,96%,95%,10%
2022,10X315,P.S. 315 Lab School,,86%,88%,96%,91%,96%,93%,91%,91%,92%,91%,95%,94%,94%,92%,96%,94%,97%,12%
2022,10X319,Providing Urban Learners Success In Education High,,90%,91%,99%,97%,99%,98%,99%,94%,95%,98%,94%,97%,100%,100%,97%,96%,94%,24%
2022,10X331,The Bronx School of Young Leaders,,86%,85%,92%,89%,97%,96%,93%,96%,92%,90%,97%,93%,93%,94%,97%,93%,94%,13%
2022,10X340,P.S. 340,,93%,91%,97%,93%,97%,97%,97%,97%,96%,97%,97%,96%,99%,96%,98%,96%,97%,6%
2022,10X342,International School for Liberal Arts,,91%,89%,96%,92%,96%,96%,95%,95%,95%,95%,95%,98%,95%,92%,93%,94%,96%,18%
2022,10X344,Ampark Neighborhood,,94%,93%,98%,96%,99%,96%,96%,95%,97%,94%,97%,97%,98%,98%,97%,96%,97%,3%
2022,10X351,Bronx Collaborative High School,,83%,92%,92%,100%,100%,100%,83%,92%,80%,90%,78%,82%,90%,80%,82%,82%,100%,42%
2022,10X353,World View High School,,92%,90%,96%,93%,96%,95%,95%,95%,96%,92%,98%,95%,99%,97%,99%,96%,100%,22%
2022,10X360,P.S. 360,,96%,90%,100%,93%,100%,99%,95%,97%,97%,96%,99%,99%,96%,99%,96%,96%,99%,4%
2022,10X363,Academy For Personal Leadership And Excellence,,85%,84%,96%,89%,95%,95%,93%,93%,93%,93%,94%,94%,94%,89%,96%,97%,97%,26%
2022,10X368,In-Tech Academy (M.S. / High School 368),,85%,83%,97%,88%,95%,96%,95%,96%,93%,93%,91%,95%,96%,95%,95%,94%,95%,19%
2022,10X374,Knowledge and Power Preparatory Academy Internatio,,90%,90%,93%,91%,94%,93%,92%,92%,92%,93%,94%,93%,95%,96%,93%,94%,95%,19%
2022,10X382,"Elementary School for Math, Science, and Technolog",,83%,75%,96%,92%,97%,96%,93%,93%,89%,89%,91%,95%,92%,96%,92%,94%,95%,15%
2022,10X386,School for Environmental Citizenship,,89%,89%,97%,90%,98%,92%,92%,92%,94%,91%,94%,94%,90%,97%,91%,95%,96%,9%
2022,10X390,M.S. 390,,86%,94%,96%,94%,98%,98%,92%,92%,96%,97%,96%,96%,97%,92%,96%,94%,97%,17%
2022,10X391,The Angelo Patri Middle School,,94%,88%,93%,94%,95%,96%,95%,95%,92%,97%,94%,97%,94%,96%,95%,94%,93%,16%
2022,10X396,P.S. 396,,96%,97%,99%,95%,99%,96%,95%,96%,98%,95%,92%,94%,94%,91%,94%,98%,98%,3%
2022,10X397,English Language Learners and International Suppor,,89%,94%,89%,100%,94%,100%,94%,94%,88%,94%,88%,81%,83%,93%,94%,90%,89%,11%
2022,10X433,High School for Teaching and the Professions,,92%,91%,97%,95%,99%,96%,98%,98%,95%,94%,95%,98%,97%,97%,95%,96%,96%,28%
2022,10X434,Belmont Preparatory High School,,78%,75%,93%,76%,94%,94%,89%,88%,89%,83%,86%,86%,91%,91%,94%,94%,91%,35%
2022,10X437,Fordham High School for the Arts,,87%,83%,97%,92%,94%,92%,93%,93%,89%,91%,92%,94%,95%,93%,94%,96%,93%,24%
2022,10X438,Fordham Leadership Academy,,95%,95%,99%,97%,100%,98%,98%,97%,96%,97%,97%,100%,99%,94%,99%,97%,98%,18%
2022,10X439,Bronx High School for Law and Community Service,,87%,80%,95%,85%,94%,96%,100%,92%,93%,95%,95%,98%,98%,100%,98%,98%,98%,30%
2022,10X440,DeWitt Clinton High School,,83%,89%,96%,88%,95%,88%,89%,91%,89%,85%,91%,92%,89%,92%,86%,91%,96%,35%
2022,10X442,"Celia Cruz Bronx High School of Music, The",,85%,88%,97%,90%,97%,96%,93%,94%,91%,93%,90%,93%,93%,94%,97%,95%,95%,21%
2022,10X445,The Bronx High School of Science,,88%,85%,98%,92%,98%,97%,97%,97%,92%,95%,93%,97%,97%,98%,97%,98%,97%,20%
2022,10X447,Creston Academy,,89%,90%,97%,92%,95%,97%,95%,95%,95%,95%,96%,99%,99%,95%,98%,99%,99%,14%
2022,10X477,Marble Hill High School for International Studies,,94%,91%,98%,95%,99%,98%,97%,96%,98%,99%,98%,98%,99%,98%,98%,99%,100%,22%
2022,10X524,Crotona International High School,,97%,95%,99%,97%,99%,99%,98%,99%,99%,99%,100%,99%,100%,98%,99%,99%,100%,11%
2022,10X546,Bronx Theatre High School,,88%,86%,95%,94%,97%,99%,97%,100%,95%,95%,93%,98%,97%,93%,94%,98%,95%,27%
2022,10X549,Discovery High School,,85%,85%,96%,89%,96%,92%,90%,92%,89%,88%,92%,91%,93%,92%,96%,96%,97%,29%
2022,10X565,High School for Energy and Technology,,96%,96%,98%,96%,99%,97%,97%,98%,98%,97%,97%,98%,98%,97%,97%,98%,98%,6%
2022,10X696,High School of American Studies at Lehman College,,83%,77%,97%,88%,97%,98%,98%,97%,85%,94%,92%,98%,97%,99%,96%,96%,94%,10%
2022,11X016,P.S. 016 Wakefield,,96%,93%,97%,96%,98%,98%,95%,97%,97%,97%,96%,99%,97%,98%,98%,97%,97%,10%
2022,11X019,P.S. 019 Judith K. Weiss,,89%,89%,96%,91%,99%,92%,93%,94%,92%,91%,92%,95%,94%,96%,96%,94%,95%,4%
2022,11X021,P.S. 021 Philip H. Sheridan,,79%,83%,91%,88%,93%,93%,91%,91%,87%,91%,93%,95%,91%,93%,91%,91%,90%,17%
2022,11X041,P.S. 041 Gun Hill Road,,94%,97%,98%,95%,98%,96%,96%,96%,97%,95%,97%,96%,97%,95%,98%,98%,98%,8%
2022,11X068,P.S. 068 Bronx,,86%,92%,94%,88%,99%,94%,89%,90%,94%,89%,93%,90%,89%,95%,94%,92%,96%,4%
2022,11X076,P.S. 076 The Bennington School,,89%,88%,96%,90%,97%,94%,93%,94%,95%,90%,96%,94%,94%,99%,95%,95%,94%,11%
2022,11X078,P.S. 078 Anne Hutchinson,,84%,87%,93%,89%,97%,95%,92%,93%,88%,90%,89%,94%,92%,95%,91%,92%,94%,10%
2022,11X083,P.S. 083 Donald Hertz,,84%,92%,97%,90%,93%,95%,93%,95%,95%,91%,95%,95%,94%,95%,96%,98%,98%,22%
2022,11X087,P.S. 087 Bronx,,87%,91%,95%,91%,96%,96%,95%,96%,95%,95%,97%,94%,96%,97%,90%,93%,94%,11%
2022,11X089,P.S. 089 Bronx,,86%,85%,95%,86%,93%,95%,92%,94%,95%,92%,92%,94%,94%,93%,94%,95%,96%,17%
2022,11X096,P.S. 096 Richard Rodgers,,93%,93%,98%,94%,98%,98%,97%,98%,97%,96%,95%,98%,98%,98%,98%,96%,97%,10%
2022,11X097,P.S. 097 Bronx,,92%,93%,97%,92%,96%,93%,92%,93%,98%,92%,96%,93%,95%,96%,96%,95%,94%,6%
2022,11X103,P.S. 103 Hector Fontanez,,91%,92%,97%,92%,96%,95%,94%,94%,94%,92%,96%,97%,95%,95%,95%,94%,96%,15%
2022,11X105,P.S. 105 Sen Abraham Bernstein,,88%,89%,98%,92%,98%,98%,95%,95%,95%,93%,96%,97%,98%,97%,97%,91%,94%,12%
2022,11X106,P.S. 106 Parkchester,,90%,91%,96%,91%,95%,95%,96%,94%,94%,93%,95%,95%,95%,98%,95%,94%,96%,13%
2022,11X108,P.S. 108 Philip J. Abinanti,,92%,94%,98%,95%,97%,97%,97%,98%,97%,97%,97%,97%,97%,99%,97%,96%,97%,7%
2022,11X111,P.S. 111 Seton Falls,,87%,85%,96%,87%,96%,94%,94%,97%,96%,92%,93%,90%,97%,96%,98%,93%,97%,19%
2022,11X112,P.S. 112 Bronxwood,,89%,89%,97%,90%,98%,95%,92%,95%,93%,89%,93%,95%,95%,98%,92%,93%,95%,20%
2022,11X121,P.S. 121 Throop,,85%,89%,96%,91%,95%,95%,92%,94%,96%,93%,98%,96%,96%,97%,96%,97%,96%,11%
2022,11X127,J.H.S. 127 The Castle Hill,,79%,82%,94%,82%,95%,93%,92%,94%,89%,89%,89%,94%,93%,90%,92%,92%,93%,24%
2022,11X144,J.H.S. 144 Michelangelo,,88%,85%,95%,86%,92%,93%,93%,91%,90%,90%,91%,92%,93%,90%,94%,94%,94%,19%
2022,11X153,P.S. 153 Helen Keller,,88%,88%,93%,92%,97%,97%,96%,96%,96%,98%,96%,96%,98%,99%,96%,93%,92%,2%
2022,11X160,P.S. 160 Walt Disney,,88%,88%,96%,87%,97%,94%,88%,88%,93%,89%,90%,91%,93%,94%,89%,88%,94%,5%
2022,11X169,Baychester Academy,,95%,93%,96%,95%,97%,98%,97%,98%,95%,96%,97%,98%,96%,98%,98%,95%,97%,6%
2022,11X175,P.S. 175 City Island,,89%,91%,97%,89%,97%,93%,89%,86%,95%,90%,94%,93%,91%,96%,91%,93%,95%,3%
2022,11X178,P.S. 178 - Dr. Selman Waksman,,87%,92%,100%,89%,96%,93%,91%,96%,96%,89%,97%,97%,92%,95%,96%,90%,96%,10%
2022,11X180,M.S. 180 Dr. Daniel Hale Williams,,78%,82%,95%,84%,94%,93%,89%,89%,89%,88%,88%,94%,92%,92%,91%,90%,92%,9%
2022,11X181,I.S. 181 Pablo Casals,,86%,88%,98%,90%,97%,99%,98%,96%,93%,96%,94%,99%,97%,97%,96%,98%,97%,17%
2022,11X189,Cornerstone Academy for Social Action,,87%,91%,95%,93%,98%,98%,95%,95%,88%,91%,84%,100%,95%,100%,95%,98%,95%,7%
2022,11X194,P.S./M.S. 194,,90%,90%,98%,92%,95%,96%,96%,96%,96%,95%,94%,96%,97%,97%,96%,97%,98%,16%
2022,11X249,Bronx Health Sciences High School,,55%,55%,63%,58%,61%,63%,61%,61%,57%,55%,62%,59%,62%,63%,63%,61%,63%,16%
2022,11X253,Bronx High School for Writing and Communication Ar,,99%,99%,100%,99%,100%,99%,98%,99%,100%,99%,98%,99%,100%,97%,100%,100%,99%,7%
2022,11X265,Bronx Lab School,,95%,98%,98%,98%,98%,91%,95%,97%,98%,88%,100%,100%,100%,92%,100%,96%,100%,28%
2022,11X270,Academy for Scholarship and Entrepreneurship: A Co,,97%,95%,98%,97%,98%,98%,97%,96%,97%,98%,98%,98%,99%,98%,99%,98%,97%,10%
2022,11X275,High School of Computers and Technology,,90%,88%,97%,93%,98%,97%,95%,97%,96%,98%,98%,98%,98%,98%,97%,98%,97%,22%
2022,11X287,North Bronx School of Empowerment,,82%,88%,86%,84%,97%,95%,81%,84%,88%,90%,90%,94%,85%,73%,85%,82%,83%,25%
2022,11X288,Collegiate Institute for Math and Science,,86%,87%,93%,87%,90%,92%,87%,87%,93%,91%,89%,94%,94%,91%,91%,93%,93%,24%
2022,11X290,Bronx Academy of Health Careers,,91%,92%,96%,92%,95%,96%,92%,94%,94%,94%,93%,94%,95%,91%,93%,95%,97%,14%
2022,11X299,Astor Collegiate Academy,,86%,83%,95%,93%,98%,93%,93%,93%,98%,98%,85%,94%,94%,91%,92%,91%,98%,11%
2022,11X326,Bronx Green Middle School,,93%,92%,98%,95%,97%,98%,96%,97%,97%,95%,98%,96%,98%,95%,97%,98%,98%,4%
2022,11X355,Bronx Alliance Middle School,,84%,91%,88%,84%,98%,93%,89%,86%,89%,88%,85%,91%,88%,83%,95%,93%,92%,16%
2022,11X357,Young Voices Academy of the Bronx,,88%,90%,97%,89%,99%,93%,89%,88%,96%,86%,96%,93%,91%,97%,92%,93%,94%,4%
2022,11X370,Leaders of Tomorrow,,76%,78%,95%,80%,93%,92%,86%,84%,91%,83%,91%,93%,89%,89%,90%,89%,96%,28%
2022,11X418,Bronx High School for the Visual Arts,,86%,89%,96%,92%,96%,96%,96%,98%,89%,93%,96%,98%,94%,98%,96%,98%,92%,26%
2022,11X455,Harry S Truman High School,,83%,83%,96%,88%,95%,96%,94%,94%,91%,94%,94%,95%,96%,95%,96%,95%,98%,25%
2022,11X462,Cornerstone Academy for Social Action Middle Schoo,,95%,95%,97%,96%,96%,96%,97%,96%,99%,98%,97%,99%,98%,98%,99%,98%,99%,1%
2022,11X468,Pelham Academy of Academics and Community Engageme,,94%,94%,97%,96%,99%,98%,96%,96%,97%,98%,96%,97%,99%,97%,98%,97%,97%,10%
2022,11X481,The STEAM Bridge School,,92%,88%,96%,88%,92%,96%,94%,95%,95%,95%,93%,93%,94%,96%,95%,95%,96%,6%
2022,11X483,The Matilda Avenue School,,99%,99%,99%,99%,100%,100%,98%,100%,99%,99%,98%,99%,100%,99%,100%,99%,100%,8%
2022,11X498,P.S./M.S. 11X498 - Van Nest Academy,,82%,85%,95%,87%,97%,90%,91%,92%,92%,89%,91%,95%,94%,97%,93%,92%,95%,3%
2022,11X508,Bronxdale High School,,93%,93%,98%,94%,99%,98%,97%,97%,96%,96%,94%,99%,99%,99%,100%,98%,99%,29%
2022,11X509,High School of Language and Innovation,,80%,78%,86%,82%,85%,86%,88%,85%,95%,96%,95%,91%,93%,93%,94%,93%,95%,34%
2022,11X513,New World High School,,95%,92%,99%,97%,98%,99%,97%,98%,97%,97%,98%,96%,99%,99%,99%,99%,99%,17%
2022,11X514,The Bronxwood Preparatory Academy,,95%,95%,97%,93%,97%,94%,92%,92%,95%,94%,98%,96%,96%,93%,97%,95%,97%,19%
2022,11X529,One World Middle School at Edenwald,,90%,93%,100%,92%,98%,100%,98%,98%,98%,98%,93%,95%,95%,96%,96%,100%,97%,10%
2022,11X532,Baychester Middle School,,93%,97%,97%,93%,100%,94%,97%,97%,100%,96%,97%,100%,100%,100%,97%,100%,100%,10%
2022,11X542,Pelham Preparatory Academy,,87%,89%,96%,91%,97%,98%,95%,97%,92%,95%,96%,98%,97%,93%,100%,99%,96%,20%
2022,11X544,High School for Contemporary Arts,,87%,79%,89%,82%,98%,87%,83%,84%,88%,87%,94%,93%,94%,88%,92%,90%,93%,26%
2022,11X545,Bronx Aerospace High School,,92%,91%,91%,90%,94%,90%,93%,93%,94%,95%,92%,95%,96%,93%,96%,97%,97%,28%
2022,11X556,Bronx Park Middle School,,79%,84%,95%,84%,96%,93%,91%,92%,87%,86%,89%,91%,93%,92%,93%,89%,91%,16%
2022,11X566,Pelham Gardens Middle School,,83%,84%,96%,88%,96%,97%,95%,97%,91%,96%,97%,96%,97%,95%,99%,98%,95%,29%
2022,11X567,Linden Tree Elementary School,,94%,92%,97%,96%,98%,96%,97%,97%,98%,95%,99%,96%,98%,97%,98%,95%,96%,14%
2022,12X006,P.S. 006 West Farms,,91%,90%,97%,92%,99%,95%,94%,95%,94%,93%,94%,97%,96%,96%,94%,94%,97%,13%
2022,12X044,P.S. 044 David C. Farragut,,90%,82%,92%,85%,95%,95%,92%,92%,97%,95%,100%,92%,97%,100%,95%,98%,95%,17%
2022,12X047,P.S. 047 John Randolph,,90%,90%,96%,90%,95%,95%,92%,91%,94%,91%,92%,94%,95%,94%,95%,94%,94%,19%
2022,12X057,P.S. 057 Crescent,,98%,98%,98%,97%,99%,96%,95%,94%,99%,97%,99%,98%,98%,99%,98%,98%,98%,1%
2022,12X061,P.S. 061 Francisco Oller,,95%,94%,94%,97%,97%,97%,97%,94%,100%,97%,100%,100%,100%,96%,97%,97%,97%,14%
2022,12X066,P.S. 066 School of Higher Expectations,,94%,94%,97%,93%,98%,96%,92%,93%,96%,92%,92%,97%,95%,93%,92%,94%,96%,10%
2022,12X067,P.S. 067 Mohegan School,,89%,91%,97%,96%,98%,97%,95%,95%,94%,95%,97%,97%,95%,96%,95%,99%,97%,16%
2022,12X098,J.H.S. 098 Herman Ridder,,90%,92%,93%,93%,95%,95%,93%,93%,91%,94%,89%,94%,98%,85%,98%,93%,98%,18%
2022,12X129,M.S. 129 Academy for Independent Learning and Lead,,78%,80%,94%,83%,97%,91%,89%,89%,89%,86%,88%,88%,90%,83%,90%,93%,93%,22%
2022,12X134,P.S. 134 George F. Bristow,,97%,98%,100%,97%,99%,100%,99%,100%,99%,99%,99%,99%,99%,99%,99%,97%,98%,3%
2022,12X150,P.S. 150 Charles James Fox,,92%,90%,95%,93%,95%,97%,96%,96%,95%,95%,94%,95%,97%,97%,96%,94%,94%,11%
2022,12X190,E.S.M.T- I.S. 190,,89%,83%,95%,91%,97%,97%,93%,96%,90%,94%,94%,94%,93%,94%,93%,89%,89%,21%
2022,12X195,P.S. 195,,90%,91%,95%,91%,98%,96%,95%,94%,95%,96%,95%,95%,95%,97%,96%,96%,96%,15%
2022,12X196,P.S. 196,,89%,89%,94%,91%,96%,95%,95%,95%,95%,92%,95%,97%,95%,98%,96%,94%,96%,8%
2022,12X211,P.S. 211,,94%,96%,99%,94%,97%,95%,91%,89%,99%,89%,97%,92%,97%,97%,99%,96%,98%,4%
2022,12X214,P.S. 214,,90%,90%,94%,85%,91%,89%,85%,86%,95%,94%,93%,95%,94%,95%,94%,96%,95%,47%
2022,12X217,School of Performing Arts,,95%,95%,95%,94%,94%,92%,89%,91%,95%,94%,91%,92%,92%,92%,95%,92%,93%,13%
2022,12X242,Mott Hall V,,87%,86%,95%,89%,96%,95%,93%,93%,92%,92%,93%,94%,95%,96%,97%,96%,94%,28%
2022,12X248,"Metropolitan High School, The",,79%,83%,96%,88%,96%,96%,83%,83%,86%,91%,90%,95%,95%,86%,95%,86%,90%,26%
2022,12X251,Explorations Academy H.S.,,98%,98%,99%,99%,99%,99%,98%,99%,99%,99%,100%,100%,100%,98%,100%,100%,99%,17%
2022,12X267,Bronx Latin,,92%,92%,99%,95%,99%,98%,96%,97%,96%,93%,95%,95%,98%,97%,97%,97%,98%,23%
2022,12X271,East Bronx Academy for the Future,,86%,86%,93%,90%,93%,92%,90%,91%,91%,89%,93%,95%,94%,93%,88%,92%,92%,17%
2022,12X273,Frederick Douglass Academy V. Middle School,,73%,75%,88%,80%,94%,96%,74%,81%,85%,82%,83%,84%,84%,90%,92%,94%,94%,12%
2022,12X286,Fannie Lou Hamer Middle School,,92%,90%,88%,90%,93%,93%,90%,88%,94%,91%,89%,94%,96%,95%,93%,96%,96%,5%
2022,12X300,The School of Science and Applied Learning,,84%,88%,96%,88%,96%,94%,92%,92%,91%,86%,88%,92%,93%,97%,94%,90%,94%,16%
2022,12X314,Fairmont Neighborhood School,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,18%
2022,12X316,Kappa III,,93%,91%,92%,92%,94%,91%,89%,89%,92%,90%,95%,97%,97%,90%,97%,97%,97%,18%
2022,12X318,"I.S. X318 Math, Science & Technology Through Arts",,95%,93%,97%,95%,97%,97%,95%,97%,95%,96%,95%,96%,95%,92%,93%,93%,96%,7%
2022,12X341,Accion Academy,,86%,79%,95%,93%,95%,95%,96%,89%,88%,98%,98%,96%,100%,87%,96%,98%,95%,17%
2022,12X383,Emolior Academy,,91%,92%,95%,93%,94%,91%,90%,90%,92%,91%,95%,92%,91%,93%,95%,95%,96%,7%
